Branch Code,Structural Category,New ID,emp branch English,emp dept English,emp religion,Gender - English,Date of Birth,English Position,Band,emp nationality,emp join date,Married or Not,No of Children,BASIC SALARY MTH,BASIC SALARY YEAR,HOUSING EMP YEAR,EMP TRANS,EMP GAZ,emp MOBILE,emp TRAVEL,JOB NATURE,emp FOOD,Social Insurance,current year service end value,No of Yearly Tickets,tickets value,emp Insurance value,family Insurance value,family Insurance count,emp Insurance total,emp Insurance type,ramadan akramia,Manager new
ho,Personnel,11111123,HO-Jeddah,General Admin,Muslim,Male,1/1/2000,HR Officer,0,Saudi,1-Jan-20,Single,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,11111147
ho,Personnel,11111124,Riyadh,General Admin,Muslim,Male,8/9/1981,Senior government relations manager,6,Saudi,1-May-14,Married,0,15000,180000,45000,36000,9600,3000,0,0,0,18750,7150.68,0,0,0,0,0,0,,0,N-1
HO,Personnel,11111125,Dammam,General Admin,Muslim,Male,11/6/1998,Governmental Relations Representative,3,Saudi,21-Sep-16,Single,0,4000,48000,24000,13200,5760,1800,0,0,0,6000,0,0,0,0,0,0,0,,0,11111138
HO,Personnel,11111126,Dammam,General Admin,Muslim,Male,6/16/1992,Administration Affairs Specialist,3,Saudi,11-Jul-16,Single,0,5000,60000,24000,13200,0,0,0,0,0,7000,0,0,0,0,0,0,0,,0,11111138
HO,Personnel,11111127,Madina,General Admin,Muslim,Male,12/22/1994,Administration Supervisor,4,Saudi,11-Jan-15,Married,0,6500,78000,24000,18000,5760,2400,0,0,0,8500,0,0,0,0,0,0,0,,0,11111148
HO,Personnel,11111128,Riyadh,General Admin,Muslim,Male,12/5/1989,Administrator,3,Saudi,17-May-15,Single,0,4500,54000,24000,13200,0,0,0,0,0,6500,0,0,0,0,0,0,0,,0,11111134
ho,Personnel,11111129,Riyadh,General Admin,Muslim,Male,6/21/1986,Governmental Relations Supervisor,4,Saudi,23-Feb-13,Married,0,7000,84000,24000,18000,5760,2400,0,0,0,9000,4561.68,0,0,0,0,1,0,,0,11111124
ho,Personnel,11111130,Jeddah,General Admin,Muslim,Male,2/1/1987,Administration Supervisor,4,Saudi,19-Jan-13,Married,0,8000,96000,24000,18000,5760,2400,0,0,0,10000,4931.52,0,0,0,0,1,0,,0,11111148
ho,Personnel,11111131,Riyadh,General Admin,Muslim,Male,4/28/1991,Governmental Relations Representative,3,Saudi,4-Mar-13,Married,0,5500,66000,24000,13200,5760,1800,0,0,0,7500,3378,0,0,0,0,1,0,,0,11111124
ho,Personnel,11111132,Dammam,General Admin,Muslim,Male,5/18/1984,Administration Affairs Specialist,3,Saudi,10-Mar-13,Married,1,4500,54000,24000,13200,0,0,0,0,0,6500,2465.76,0,0,0,0,2,0,,0,11111138
ho,Personnel,11111133,Riyadh,General Admin,Muslim,Male,7/20/1974,Governmental Relations Representative,3,Saudi,1-Sep-13,Married,7,6500,78000,24000,13200,5760,1800,0,0,0,8500,3698.64,0,0,0,0,8,0,,0,11111124
ho,Personnel,11111134,Riyadh,General Admin,Muslim,Male,1/1/1978,Administration Supervisor,4,Yemeni,4-Dec-13,Married,4,7000,84000,21000,18000,5760,2400,0,0,0,8750,4438.32,0,0,0,0,0,0,,0,11111124
ho,Personnel,11111135,Dammam,General Admin,Muslim,Male,8/1/1978,Governmental Relations Representative,3,Saudi,1-Dec-13,Married,0,5000,60000,24000,13200,5760,1800,0,0,0,7000,3378,0,0,0,0,0,0,,0,11111138
ho,Personnel,11111136,Madina,General Admin,Muslim,Male,4/6/1982,Governmental Relations Representative,3,Saudi,12-May-14,Single,0,5000,60000,15000,13200,5760,1800,0,0,0,6250,2885.04,0,0,0,0,0,0,,0,11111148
HO,Personnel,11111137,Riyadh,General Admin,Muslim,Male,1/22/1989,Senior Administration Affairs Specialist,3,Saudi,1-Jun-14,Married,0,7000,84000,24000,13200,0,1800,0,0,0,9000,4438.32,0,0,0,0,0,0,,0,11111124
ho,Personnel,11111138,Dammam,General Admin,Muslim,Male,9/24/1989,Administration Supervisor,4,Saudi,7-Sep-14,Single,0,7500,90000,24000,18000,5760,2400,0,0,0,9500,2477.64,0,0,0,0,0,0,,0,11111124
HO,Personnel,11111139,Riyadh,General Admin,Muslim,Male,7/7/1991,Administration Affairs Specialist,3,Saudi,1-Jun-22,Married,0,4000,48000,24000,13200,0,0,0,0,0,6000,0,0,0,0,0,0,0,,0,11111124
ho,Personnel,11111140,Bahra Warehouse,General Admin,Muslim,Male,4/24/1989,Administration Supervisor,4,Saudi,9-Mar-21,Single,0,7000,84000,24000,18000,5760,2400,0,0,0,9000,0,0,0,0,0,0,0,,0,11111148
HO,Personnel,11111141,Riyadh,General Admin,Muslim,Male,12/29/1991,Governmental Relations Representative,3,Saudi,1-Sep-20,Married,0,4500,54000,24000,13200,5760,1800,0,0,0,6500,0,0,0,0,0,0,0,,0,11111134
HO,Personnel,11111142,Khamis,General Admin,Muslim,Male,5/27/1995,Governmental Relations Representative,3,Saudi,16-Jul-20,Single,0,4000,48000,15000,13200,5760,1800,0,0,0,5250,0,0,0,0,0,0,0,,0,11111145
HO,Personnel,11111143,Riyadh,General Admin,Muslim,Male,4/10/1993,Governmental Relations Representative,3,Saudi,5-May-19,Single,0,5500,66000,24000,13200,5760,1800,0,0,0,7500,0,0,0,0,0,0,0,,0,11111124
HO,Personnel,11111144,Dammam,General Admin,Muslim,Male,8/23/1980,Governmental Relations Representative,3,Saudi,1-Jun-17,Married,0,5000,60000,24000,13200,5760,1800,0,0,0,7000,0,0,0,0,0,0,0,,0,11111138
HO,Personnel,11111145,Khamis,General Admin,Muslim,Male,1/7/1996,Administration Supervisor,4,Saudi,10-Apr-18,Single,0,6000,72000,15000,18000,5760,2400,0,0,0,7250,0,0,0,0,0,0,0,,0,11111148
HO,Personnel,11111146,Riyadh,General Admin,Muslim,Male,11/30/1965,Receptionist,2,Egyptian,15-Dec-20,Single,0,3500,42000,10500,9000,0,0,0,0,0,4375,0,0,0,0,0,0,0,,0,11111124
ho,Personnel,11111147,HO-Jeddah,General Admin,Muslim,Male,12/7/1989,Administration Manager,5,Saudi,3-Dec-17,Single,0,10000,120000,30000,24000,4800,3000,0,0,0,12500,0,0,0,0,0,0,0,,0,11111148
ho,Personnel,11111148,HO-Jeddah,General Admin,Muslim,Male,6/17/1977,Governmental & Administration Relations Manager,6,Saudi,22-Feb-03,Married,2,15000,180000,45000,36000,9600,3000,0,0,0,18750,14301.36,0,0,0,0,3,0,,0,N-1
HO,Personnel,11111149,HO-Jeddah,General Admin,Muslim,Male,11/8/1985,Administrator,3,Saudi,3-Nov-16,Single,0,5000,60000,24000,13200,0,1800,0,0,0,7000,0,0,0,0,0,0,0,,0,11111147
HO,Personnel,11111150,HO-Jeddah,General Admin,Muslim,Male,6/8/1992,Administration Affairs Supervisor,4,Saudi,1-Dec-16,Single,0,7000,84000,24000,18000,0,2400,0,0,0,9000,0,0,0,0,0,0,0,,0,11111147
HO,Personnel,11111151,HO-Jeddah,General Admin,Muslim,Male,9/29/1987,Hospitality Officer,3,Yemeni,6-Jan-15,Married,0,5500,66000,18000,13200,0,1800,0,0,0,7000,0,0,0,0,0,0,0,,0,11111147
HO,Personnel,11111152,HO-Jeddah,General Admin,Muslim,Male,3/24/1992,Senior Insurance Officer,3,Pakistani,1-Jan-15,Single,0,5000,60000,15000,13200,0,1800,0,0,0,6500,0,0,0,0,0,0,0,,0,11111147
HO,Personnel,11111153,HO-Jeddah,General Admin,Muslim,Male,6/11/1990,HR Supervisor,4,Saudi,18-Jan-15,Married,0,7000,84000,24000,18000,0,2400,0,0,0,9000,0,0,0,0,0,0,0,,0,11111147
HO,Personnel,11111154,HO-Jeddah,General Admin,Muslim,Male,8/1/1990,Senior Payroll Specialist,3,Saudi,12-Mar-15,Single,0,6000,72000,24000,13200,0,0,0,0,0,8000,0,0,0,0,0,0,0,,0,11111147
ho,Personnel,11111155,HO-Jeddah,General Admin,Muslim,Male,2/25/1989,Senior Governmental Relations Specialist,3,Saudi,15-Jun-13,Single,0,6000,72000,24000,13200,0,0,0,0,0,8000,3254.76,0,0,0,0,0,0,,0,11111157
HO,Personnel,11111156,HO-Jeddah,General Admin,Muslim,Male,7/24/1978,Governmental Relations Representative,3,Saudi,25-Jun-13,Married,1,5000,60000,24000,13200,5760,1800,0,0,0,7000,3384,0,0,0,0,2,0,,0,11111157
ho,Personnel,11111157,HO-Jeddah,General Admin,Muslim,Male,12/14/1986,Governmental Affairs Supervisor,4,Saudi,1-Oct-13,Married,0,8500,102000,25500,18000,5760,2400,0,0,0,10625,5178.12,0,0,0,0,0,0,,0,11111148
ho,Personnel,11111158,HO-Jeddah,General Admin,Muslim,Male,1/1/1991,Secretary,3,Pakistani,2-Feb-14,Married,2,7250,87000,21744,13200,0,1800,0,0,0,9062,2761.68,0,0,0,0,0,0,,0,N-1
ho,Personnel,11111159,HO-Jeddah,General Admin,Muslim,Male,12/27/1985,Senior Administration Affairs Specialist,3,Yemeni,20-Jan-14,Married,3,5500,66000,18000,13200,0,0,0,0,0,7000,3008.28,0,0,0,0,0,0,,0,11111147
ho,Personnel,11111160,HO-Jeddah,General Admin,Muslim,Female,3/14/1986,Senior HR Specialist,3,Saudi,4-May-14,Single,0,6000,72000,18000,13200,0,1800,0,0,0,7500,1726.08,0,0,0,0,0,0,,0,11111148
ho,Personnel,11111161,HO-Jeddah,General Admin,Muslim,Female,5/2/1991,Administrator,3,Yemeni,4-May-14,Married,0,4500,54000,13500,13200,0,0,0,0,0,5625,1726.08,0,0,0,0,0,0,,0,11111162
ho,Personnel,11111162,HO-Jeddah,General Admin,Muslim,Female,9/18/1978,Administration Supervisor,4,Saudi,4-May-14,Single,0,7000,84000,21000,18000,0,2400,0,0,0,8750,1726.08,0,0,0,0,0,0,,0,11111148
HO,Personnel,11111163,HO-Jeddah,General Admin,Muslim,Female,5/17/1991,Administrator,3,Saudi,11-Aug-14,Single,0,4500,54000,15000,13200,0,0,0,0,0,5750,1781.64,0,0,0,0,0,0,,0,11111162
HO,Personnel,11111164,HO-Jeddah,General Admin,Muslim,Female,5/1/1984,Customer Service Representative,3,Saudi,1-Jul-22,Single,0,3000,36000,12000,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,,0,11111162
HO,Personnel,11111165,HO-Jeddah,General Admin,Muslim,Male,10/4/1981,Administrator,3,Saudi,31-Aug-23,Married,0,4000,48000,24000,13200,0,0,0,0,0,6000,0,0,0,0,0,0,0,,0,11111147
HO,Personnel,11111166,HO-Jeddah,General Admin,Muslim,Male,1/13/1999,HR Specialist,3,Saudi,30-Nov-23,Single,0,4500,54000,24000,13200,0,1800,0,0,0,6500,0,0,0,0,0,0,0,,0,11111147
HO,Personnel,11111167,HO-Jeddah,General Admin,Muslim,Male,10/11/2000,Administrator,3,Saudi,12-May-24,Single,0,4500,54000,15000,13200,0,0,0,0,0,5750,0,0,0,0,0,0,0,,0,11111147
ho,Personnel,11111168,HO-Jeddah,General Admin,Muslim,Male,8/15/2001,HR Specialist,3,Saudi,11-Jul-24,Single,0,4000,48000,15000,13200,0,0,0,0,0,5250,0,0,0,0,0,0,0,,0,11111147
HO,Personnel,11111169,HO-Jeddah,General Admin,Muslim,Male,5/13/1998,Governmental Relations Representative,3,Saudi,1-Dec-21,Single,0,4000,48000,15000,13200,7680,1800,0,0,0,5250,0,0,0,0,0,0,0,,0,11111147
HO,Personnel,11111170,HO-Jeddah,General Admin,Muslim,Female,8/25/1989,Customer Service Representative,3,Saudi,18-Nov-19,Single,0,3000,36000,12000,13200,0,0,0,0,0,4000,0,0,0,0,0,0,0,,0,11111162
HO,Personnel,11111171,HO-Jeddah,General Admin,Muslim,Male,3/4/1993,HR Specialist,3,Saudi,10-Jun-20,Single,0,5000,60000,15000,13200,0,1800,0,0,0,6250,0,0,0,0,0,0,0,,0,11111147
HO,Personnel,11111172,HO-Jeddah,General Admin,Muslim,Male,4/17/1996,Senior HR Specialist,3,Saudi,6-Jul-20,Married,0,5500,66000,24000,13200,0,0,0,0,0,7500,0,0,0,0,0,0,0,,0,11111147
HO,Personnel,11111173,HO-Jeddah,General Admin,Muslim,Male,11/9/1980,Governmental Relations Representative,3,Saudi,19-Sep-19,Married,0,4500,54000,24000,13200,5760,1800,0,0,0,6500,0,0,0,0,0,0,0,,0,11111157
HO,Personnel,11111174,HO-Jeddah,General Admin,Muslim,Male,7/1/1981,Governmental Relations Specialist,3,Saudi,1-Oct-18,Single,0,5000,60000,24000,13200,0,0,0,0,0,7000,0,0,0,0,0,0,0,,0,11111157
HO,Personnel,11111175,HO-Jeddah,General Admin,Muslim,Female,1/27/1975,Administrator,3,Saudi,1-Mar-16,Single,0,3100,37200,12000,0,0,0,0,0,0,4100,0,0,0,0,0,0,0,,0,11111162
HO,Personnel,11111176,HO-Jeddah,General Admin,Muslim,Female,12/19/1980,Administrator,3,Saudi,3-May-15,Single,0,4500,54000,15000,13200,0,1800,0,0,0,5750,0,0,0,0,0,0,0,,0,11111162
HO,Personnel,11111177,HO-Jeddah,General Admin,Muslim,Female,11/17/1989,Administrator,3,Saudi,3-May-15,Single,0,4500,54000,15000,13200,0,0,0,0,0,5750,0,0,0,0,0,0,0,,0,11111162
HO,Personnel,11111178,HO-Jeddah,General Admin,Muslim,Female,10/13/1990,Administrator,3,Saudi,3-May-15,Married,0,4500,54000,15000,13200,0,0,0,0,0,5750,0,0,0,0,0,0,0,,0,11111162
ho,Personnel,11111179,HO-Jeddah,General Admin,Muslim,Female,1/8/1994,Administrator,3,Saudi,1-May-17,Married,0,4500,54000,15000,13200,0,0,0,0,0,5750,0,0,0,0,0,0,0,,0,11111162
HO,Personnel,11111180,HO-Jeddah,General Admin,Muslim,Male,4/14/1991,Senior HR Officer,3,Saudi,1-Oct-25,Married,0,5500,66000,24000,13200,0,1800,0,0,0,7500,0,0,0,0,0,0,0,,0,11111147
HO,Personnel,11111181,HO-Jeddah,General Admin,Muslim,Male,10/3/1984,Payroll Supervisor,4,Saudi,1-Oct-25,Married,0,8000,96000,24000,18000,0,2400,0,0,0,10000,0,0,0,0,0,0,0,,0,11111148
HO,Personnel,11111182,HO-Jeddah,General Admin,Muslim,Male,9/30/2002,HR Specialist,3,Saudi,3-Aug-25,Single,0,4000,48000,15000,13200,0,0,0,0,0,5250,0,0,0,0,0,0,0,,0,11111147
HO,Personnel,11111183,HO-Jeddah,General Admin,Muslim,Male,4/2/1988,Administrator,3,Yemeni,1-Jun-25,Single,0,4500,54000,15000,13200,0,0,0,0,0,5750,0,0,0,0,0,0,0,,0,11111147
HO,Personnel,11111184,HO-Jeddah,General Admin,Muslim,Male,12/4/1998,Payroll Specialist,3,Saudi,12-Nov-24,Single,0,4500,54000,15000,13200,0,0,0,0,0,5750,0,0,0,0,0,0,0,,0,11111147
HO,Personnel,11111185,HO-Jeddah,General Admin,Muslim,Male,2/10/1999,Hospitality Officer,3,Saudi,4-Sep-24,Married,0,4000,48000,24000,13200,0,0,0,0,0,6000,0,0,0,0,0,0,0,,0,11111147
HO,Personnel,11111186,HO-Jeddah,General Admin,Muslim,Male,4/17/1975,Messenger,1,Yemeni,3-Mar-16,Single,0,4050,48600,0,0,8400,1200,0,0,0,4550,0,0,0,0,0,0,0,,0,11111147
HO,Personnel,11111187,HO-Jeddah,General Admin,Muslim,Male,1/1/1971,Messenger,1,Pakistani,5-Mar-14,Single,0,3000,36000,9000,0,7680,1200,0,0,0,3750,1212,0,0,0,0,0,0,,0,11111147
HO,Personnel,11111188,HO-Jeddah,General Admin,Muslim,Male,3/6/2000,Messenger,1,Afghanistan,10-Dec-23,Single,0,3000,36000,6000,0,8400,1200,0,0,0,3500,0,0,0,0,0,0,0,,0,11111147
HO,Fin,11111189,HO-Jeddah,Finance,Muslim,Male,1/1/1972,Financial Controller,6,Jordanian,27-Mar-00,Married,3,18000,216000,54000,36000,0,3000,0,0,0,23250,17753.4,0,0,0,0,4,0,,0,N-1
ho,Fin,11111190,HO-Jeddah,Finance,Muslim,Male,1/1/1987,Chief Accountant,5,Egyptian,6-Sep-09,Married,2,12000,144000,36000,24000,0,3000,0,0,0,15500,7870.68,0,0,0,0,0,0,,0,11111189
ho,Fin,11111191,HO-Jeddah,Finance,Muslim,Male,3/10/1979,Accounting Supervisor,4,Egyptian,11-Jul-06,Married,2,8000,96000,24000,18000,0,2400,0,0,0,10000,6953.52,0,0,0,0,2,0,,0,11111189
ho,Fin,11111192,Dammam,Finance,Muslim,Male,7/30/1991,Senior Accountant,3,Egyptian,15-Aug-16,Single,0,6500,78000,19500,13200,5760,0,0,0,0,8125,0,0,0,0,0,0,0,,0,11111189
ho,Fin,11111193,HO-Jeddah,Finance,Muslim,Male,9/30/1986,Accounting Supervisor,4,Egyptian,23-Jun-13,Single,0,9000,108000,27000,18000,0,2400,0,0,0,11650,3254.76,0,0,0,0,0,0,,0,11111189
ho,Fin,11111194,HO-Jeddah,Finance,Muslim,Female,8/23/1980,Senior Accountant,3,Saudi,1-Jul-13,Single,0,7550,90600,22650,13200,0,0,0,0,0,9437.5,4500,0,0,0,0,0,0,,0,11111189
ho,Fin,11111195,Jeddah,Finance,Muslim,Male,11/11/1984,Senior Accountant,3,Saudi,17-Feb-14,Married,0,7000,84000,24000,13200,0,0,0,0,0,9000,3378.12,0,0,0,0,0,0,,0,11111189
HO,Fin,11111196,Dammam,Finance,Muslim,Male,6/9/1984,Data Entry,3,Saudi,20-Jun-21,Single,0,3750,45000,15000,13200,0,0,0,0,0,5000,0,0,0,0,0,0,0,,0,11111189
HO,Fin,11111197,Madina,Finance,Muslim,Male,3/10/1996,Accountant,3,Saudi,25-Aug-21,Single,0,5500,66000,16500,13200,5760,0,0,0,0,6875,0,0,0,0,0,0,0,,0,11111189
HO,Fin,11111198,Khamis,Finance,Muslim,Male,3/25/1996,Accountant,3,Saudi,12-Dec-21,Single,0,5380,64560,16140,13200,5760,0,0,0,0,6725,0,0,0,0,0,0,0,,0,11111189
HO,Fin,11111199,HO-Jeddah,Finance,Muslim,Female,1/14/1990,Senior Data Entry,3,Yemeni,12-May-19,Single,0,4320,51840,15000,13200,0,0,0,0,0,5570,0,0,0,0,0,0,0,,0,11111189
HO,Fin,11111200,HO-Jeddah,Finance,Muslim,Male,6/22/1979,Senior Accountant,3,Indian,13-Jun-19,Single,0,6200,74400,21000,13200,0,0,0,0,0,7950,0,0,0,0,0,0,0,,0,11111189
HO,Fin,11111201,Jeddah,Finance,Muslim,Male,1/1/1984,Senior Data Entry,3,Yemeni,1-Jul-19,Single,0,4000,48000,18000,13200,0,0,0,0,0,5500,0,0,0,0,0,0,0,,0,11111189
HO,Fin,11111202,Jeddah,Finance,Muslim,Male,1/31/1991,Data Entry,3,Yemeni,8-Sep-19,Single,0,4000,48000,15000,13200,5760,0,0,0,0,5250,0,0,0,0,0,0,0,,0,11111189
HO,Fin,11111203,Jeddah,Finance,Muslim,Male,2/18/1991,Accountant,3,Saudi,1-Apr-19,Single,0,6100,73200,18300,13200,5760,0,0,0,0,7625,0,0,0,0,0,0,0,,0,11111189
HO,Fin,11111204,Riyadh,Finance,Muslim,Male,12/10/1990,Senior Accountant,3,Egyptian,30-Jul-17,Single,0,6500,78000,19500,13200,5760,0,0,0,0,8125,0,0,0,0,0,0,0,,0,11111189
HO,Fin,11111205,Jeddah,Finance,Muslim,Male,1/25/1992,Senior Data Entry,3,Saudi,1-Apr-18,Single,0,4500,54000,24000,13200,0,0,0,0,0,6500,0,0,0,0,0,0,0,,0,11111189
HO,Fin,11111206,HO-Jeddah,Finance,Muslim,Male,1/19/1989,Accountant,3,Saudi,1-Nov-22,Single,0,5500,66000,16500,13200,0,0,0,0,0,6875,0,0,0,0,0,0,0,,0,11111189
HO,Fin,11111207,Jeddah,Finance,Muslim,Male,8/1/1977,Accountant,3,Egyptian,9-Dec-24,Married,0,6000,72000,18000,13200,5760,0,0,0,0,0,0,0,0,0,0,0,0,,0,11111189
HO,Fin,11111208,Riyadh,Finance,Muslim,Male,6/24/1992,Data Entry,3,Saudi,10-Dec-24,Married,0,3500,42000,24000,13200,0,0,0,0,0,5500,0,0,0,0,0,0,0,,0,11111189
HO,Fin,11111209,Jeddah,Finance,Muslim,Female,8/13/1998,Accountant,3,Saudi,14-Aug-23,Single,0,5500,66000,16500,13200,0,0,0,0,0,6875,0,0,0,0,0,0,0,,0,11111189
HO,Fin,11111210,HO-Jeddah,Finance,Muslim,Female,10/11/2003,Accountant,3,Saudi,20-Jul-25,Single,0,5500,66000,18000,13200,0,0,0,0,0,7000,0,0,0,0,0,0,0,,0,11111189
HO,Fin,11111211,Riyadh,Finance,Muslim,Male,9/10/1991,Book Keeper,3,Saudi,24-Aug-25,Married,0,4000,48000,24000,13200,0,0,0,0,0,6000,0,0,0,0,0,0,0,,0,11111189
HO,Fin,11111212,HO-Jeddah,Finance,Muslim,Male,6/24/1986,Services Clerk,2,Pakistani,4-Aug-15,Single,0,4110,49320,12324,0,7680,1200,0,0,0,5137,0,0,0,0,0,0,0,,0,11111189
ho,Fin,11111213,Jeddah,Finance,Muslim,Male,5/10/1969,Senior Accountant,3,Sudanese,1-Feb-06,Married,4,7000,84000,21000,13200,5760,0,0,0,0,8750,6805.44,0,0,0,0,1,0,,0,11111295
ho,Fin,11111214,Jeddah,Finance,Muslim,Male,10/24/1982,Senior Book Keeper,3,Saudi,2-Sep-03,Married,3,5000,60000,24000,13200,0,0,0,0,0,7000,6558.84,0,0,0,0,3,0,,0,11111295
ho,Fin,11111215,Khamis,Finance,Muslim,Male,12/6/1983,Senior Data Entry,3,Saudi,15-Apr-03,Married,5,4750,57000,24000,13200,0,0,0,0,0,6750,5473.92,0,0,0,0,6,0,,0,11111295
ho,Fin,11111216,Riyadh,Finance,Muslim,Male,7/29/1982,Senior Accountant,3,Egyptian,21-Oct-10,Married,3,7500,90000,22500,13200,0,0,0,0,0,9375,3328.8,0,0,0,0,1,0,,0,11111295
ho,Fin,11111217,Madina,Finance,Muslim,Male,8/31/1971,Senior Accountant,3,Egyptian,12-Dec-09,Married,1,6500,78000,19500,13200,5760,0,0,0,0,8125,3254.76,0,0,0,0,1,0,,0,11111295
